policy_grad,value_grad,val_loss,exp_var,true_var,pi_loss,avg_rew
-0.008051718,inf,1769.3722,0.0,0.0,0.0,0.0
-0.007922435,inf,1782.0785,0.0,0.0,0.0,0.0
-0.008655485,inf,1760.6965,0.0,0.0,0.0,0.0
-0.008806786,inf,1782.2595,0.0,0.0,0.0,0.0
-0.008267437,inf,1763.8213,0.0,0.0,0.0,0.0
-0.0075536766,inf,1721.8639,0.0,0.0,0.0,0.0
-0.0077937385,inf,1701.9713,0.0,0.0,0.0,0.0
-0.0083025545,inf,1740.8555,0.0,0.0,0.0,0.0
-0.0083599435,inf,1700.093,0.0,0.0,0.0,0.0
-0.008950299,inf,1761.5092,0.0,0.0,0.0,0.0
-0.007801094,inf,1709.4609,0.0,0.0,0.0,0.0
-0.010821576,inf,1650.9114,0.0,0.0,0.0,0.0
-0.009750471,inf,1679.3807,0.0,0.0,0.0,0.0
-0.010991326,inf,1620.2021,0.0,0.0,0.0,0.0
-0.009739716,inf,1601.804,0.0,0.0,0.0,0.0
-0.009341539,inf,1511.6536,0.0,0.0,0.0,0.0
-0.01408657,inf,1538.2177,0.0,0.0,0.0,0.0
-0.003571299,inf,1672.5244,0.0,0.0,0.0,0.0
-0.008193875,inf,1858.2322,0.0,0.0,0.0,0.0
-0.021880444,inf,3998.5332,0.0,0.0,0.0,0.0
0.0029458455,inf,37930.29,0.0,0.0,0.0,0.0
-0.0039520497,inf,70763.88,0.0,0.0,0.0,0.0
-0.0050102123,inf,70396.16,0.0,0.0,0.0,0.0
-0.007176699,inf,69369.7,0.0,0.0,0.0,0.0
-0.0042913896,inf,55190.574,0.0,0.0,0.0,0.0
-0.0026360825,inf,52544.555,0.0,0.0,0.0,0.0
-0.0063916077,inf,48506.22,0.0,0.0,0.0,0.0
-0.01139476,inf,46246.203,0.0,0.0,0.0,0.0
-0.0046789893,inf,40120.26,0.0,0.0,0.0,0.0
-0.0048635644,inf,38726.04,0.0,0.0,0.0,0.0
-0.0051927646,inf,34867.59,0.0,0.0,0.0,0.0
-0.004478409,inf,25723.064,0.0,0.0,0.0,0.0
