epi,t,reward,normo,hypo,sev_hypo,hyper,lgbi,hgbi,ri,sev_hyper,aBGP_rmse,cBGP_rmse
0,33,15.429209,81.81818181818181,9.090909090909092,9.090909090909092,0.0,8.351041,2.6092832,10.960324,0.0,0,0
1,34,17.265907,91.17647058823529,2.9411764705882355,5.882352941176471,0.0,12.463948,0.8798651,13.343813,0.0,0,0
2,25,7.527378,72.0,16.0,12.0,0.0,12.131619,3.0621812,15.193801,0.0,0,0
3,37,18.214424,67.56756756756756,24.324324324324323,8.108108108108109,0.0,13.182873,4.1749105,17.357784,0.0,0,0
4,32,13.899,68.75,9.375,15.625,6.25,11.981917,4.013221,15.995138,0.0,0,0
5,29,11.085955,68.96551724137932,20.689655172413794,10.344827586206897,0.0,12.941497,1.7264178,14.667914,0.0,0,0
6,51,32.40832,74.50980392156863,17.647058823529413,7.8431372549019605,0.0,10.554256,1.6271505,12.181407,0.0,0,0
7,28,10.48011,75.0,14.285714285714286,10.714285714285714,0.0,10.840269,2.65217,13.492439,0.0,0,0
8,27,8.959183,70.37037037037037,7.407407407407407,14.814814814814815,7.407407407407407,15.170358,4.7064986,19.876856,0.0,0,0
9,22,4.986082,77.27272727272727,9.090909090909092,13.636363636363637,0.0,11.506484,1.1790973,12.685581,0.0,0,0
10,34,15.114838,64.70588235294117,5.882352941176471,29.41176470588235,0.0,14.924004,2.0063138,16.930317,0.0,0,0
11,33,15.269699,78.78787878787878,9.090909090909092,12.121212121212121,0.0,12.316377,2.551477,14.867853,0.0,0,0
12,24,6.6535373,75.0,12.5,12.5,0.0,13.107366,1.2908355,14.398201,0.0,0,0
13,29,11.789906,82.75862068965517,6.896551724137931,10.344827586206897,0.0,8.522863,1.1883453,9.711208,0.0,0,0
14,26,8.189169,73.07692307692308,11.538461538461538,15.384615384615385,0.0,14.386917,3.9544706,18.341389,0.0,0,0
15,27,9.965834,81.48148148148148,7.407407407407407,11.11111111111111,0.0,11.784058,0.74627167,12.53033,0.0,0,0
16,27,9.643362,85.18518518518519,3.7037037037037037,11.11111111111111,0.0,12.5667925,3.3718984,15.938691,0.0,0,0
17,27,9.6350975,81.48148148148148,7.407407407407407,11.11111111111111,0.0,11.03055,2.2302985,13.260849,0.0,0,0
18,36,18.410583,83.33333333333333,8.333333333333334,8.333333333333334,0.0,13.304249,2.0285761,15.332825,0.0,0,0
19,35,17.401329,80.0,5.714285714285714,5.714285714285714,8.571428571428571,13.035424,3.470471,16.505896,0.0,0,0
20,35,17.747532,80.0,14.285714285714286,5.714285714285714,0.0,8.416245,1.5118017,9.928047,0.0,0,0
21,27,9.286564,70.37037037037037,7.407407407407407,22.22222222222222,0.0,13.624891,1.3454239,14.970315,0.0,0,0
22,34,16.210827,76.47058823529412,11.764705882352942,11.764705882352942,0.0,12.997181,1.1615202,14.158701,0.0,0,0
23,28,10.186184,75.0,7.142857142857143,17.857142857142858,0.0,14.734395,1.8628278,16.597223,0.0,0,0
24,47,28.992485,76.59574468085107,19.148936170212767,4.25531914893617,0.0,8.599366,1.084799,9.684165,0.0,0,0
25,27,9.469151,77.77777777777777,7.407407407407407,14.814814814814815,0.0,14.878591,2.4953985,17.37399,0.0,0,0
26,23,5.697548,73.91304347826087,8.695652173913043,17.391304347826086,0.0,16.567362,1.3766755,17.944036,0.0,0,0
27,28,10.505804,78.57142857142857,7.142857142857143,14.285714285714286,0.0,13.857499,2.065382,15.922881,0.0,0,0
28,24,6.9441175,83.33333333333333,8.333333333333334,8.333333333333334,0.0,10.40086,2.7240446,13.124905,0.0,0,0
29,31,13.531473,83.87096774193549,9.67741935483871,6.451612903225806,0.0,11.102533,3.4887378,14.591271,0.0,0,0
30,32,13.869907,68.75,9.375,21.875,0.0,12.350051,1.2564298,13.606481,0.0,0,0
31,27,9.324879,77.77777777777777,3.7037037037037037,18.51851851851852,0.0,14.89501,2.611401,17.50641,0.0,0,0
32,30,12.685183,83.33333333333333,6.666666666666667,10.0,0.0,9.6417675,1.0962317,10.737999,0.0,0,0
33,34,15.996983,76.47058823529412,11.764705882352942,11.764705882352942,0.0,12.183195,2.4149292,14.5981245,0.0,0,0
34,37,18.260544,67.56756756756756,10.81081081081081,21.62162162162162,0.0,17.525707,1.5044863,19.030193,0.0,0,0
35,43,23.913742,62.7906976744186,16.27906976744186,20.930232558139537,0.0,14.008481,0.5507584,14.559239,0.0,0,0
36,33,15.185511,75.75757575757575,12.121212121212121,12.121212121212121,0.0,14.778807,1.3716214,16.150429,0.0,0,0
37,35,17.234993,77.14285714285714,11.428571428571429,11.428571428571429,0.0,12.41839,1.4167668,13.835157,0.0,0,0
38,35,17.638504,85.71428571428571,5.714285714285714,8.571428571428571,0.0,11.997981,2.1720607,14.170042,0.0,0,0
39,25,7.838936,84.0,4.0,12.0,0.0,10.568867,2.1093898,12.678257,0.0,0,0
40,29,10.791918,72.41379310344827,10.344827586206897,17.24137931034483,0.0,16.7393,3.4131832,20.152483,0.0,0,0
41,23,5.7691784,73.91304347826087,8.695652173913043,17.391304347826086,0.0,12.484692,1.0367274,13.52142,0.0,0,0
42,30,12.319147,73.33333333333333,16.666666666666668,10.0,0.0,13.455343,1.8400276,15.295371,0.0,0,0
43,28,10.389479,75.0,10.714285714285714,14.285714285714286,0.0,14.304397,2.4072285,16.711624,0.0,0,0
44,25,7.8443184,80.0,8.0,12.0,0.0,10.5592985,1.9687263,12.528025,0.0,0,0
45,24,6.8107586,83.33333333333333,4.166666666666667,12.5,0.0,13.666805,2.2708776,15.937683,0.0,0,0
46,28,10.246777,71.42857142857143,10.714285714285714,17.857142857142858,0.0,11.750624,2.118629,13.869253,0.0,0,0
47,35,17.516796,88.57142857142857,5.714285714285714,5.714285714285714,0.0,7.8727756,2.303916,10.176691,0.0,0,0
48,27,9.772518,81.48148148148148,7.407407407407407,11.11111111111111,0.0,12.052712,1.7446522,13.797364,0.0,0,0
49,26,8.375677,76.92307692307692,7.6923076923076925,15.384615384615385,0.0,14.984113,2.38166,17.365772,0.0,0,0
50,30,12.188379,76.66666666666667,10.0,10.0,3.3333333333333335,11.248046,4.2967978,15.544844,0.0,0,0
51,35,16.937464,77.14285714285714,11.428571428571429,11.428571428571429,0.0,10.773304,2.4784846,13.251789,0.0,0,0
52,49,30.373024,79.59183673469387,8.16326530612245,12.244897959183673,0.0,11.904624,1.4393275,13.343951,0.0,0,0
53,43,24.632496,76.74418604651163,11.627906976744185,11.627906976744185,0.0,11.822278,1.659982,13.48226,0.0,0,0
54,24,6.876378,79.16666666666667,8.333333333333334,12.5,0.0,11.560015,1.6979172,13.257932,0.0,0,0
55,33,15.385639,81.81818181818181,6.0606060606060606,12.121212121212121,0.0,15.12247,2.1012914,17.22376,0.0,0,0
56,40,22.168964,77.5,15.0,7.5,0.0,12.359874,1.8252786,14.185152,0.0,0,0
57,40,21.480072,72.5,7.5,20.0,0.0,14.734029,1.7211103,16.45514,0.0,0,0
58,32,14.607918,81.25,9.375,9.375,0.0,12.4420805,1.3403566,13.782437,0.0,0,0
59,33,15.224884,78.78787878787878,12.121212121212121,9.090909090909092,0.0,10.007734,2.8290687,12.836803,0.0,0,0
60,28,10.823082,85.71428571428571,3.5714285714285716,10.714285714285714,0.0,9.497812,2.1574128,11.655225,0.0,0,0
61,35,17.333351,77.14285714285714,8.571428571428571,14.285714285714286,0.0,11.800582,0.8405915,12.641173,0.0,0,0
62,43,25.094883,79.06976744186046,11.627906976744185,9.30232558139535,0.0,12.208714,1.1898935,13.398607,0.0,0,0
63,31,12.727713,67.74193548387096,9.67741935483871,22.580645161290324,0.0,14.975064,2.542921,17.517986,0.0,0,0
64,38,19.911106,81.57894736842105,5.2631578947368425,13.157894736842104,0.0,12.94812,2.2185633,15.166683,0.0,0,0
65,38,19.87083,78.94736842105263,10.526315789473685,10.526315789473685,0.0,10.626449,2.9866428,13.613091,0.0,0,0
66,35,17.177498,82.85714285714286,5.714285714285714,11.428571428571429,0.0,12.142612,1.9109417,14.053555,0.0,0,0
67,37,18.661053,70.27027027027027,18.91891891891892,10.81081081081081,0.0,12.248944,2.1803007,14.429245,0.0,0,0
68,26,9.07555,84.61538461538461,7.6923076923076925,7.6923076923076925,0.0,11.942027,1.360061,13.302088,0.0,0,0
69,35,17.026535,77.14285714285714,11.428571428571429,11.428571428571429,0.0,12.0718355,2.2261517,14.297987,0.0,0,0
70,45,24.815895,64.44444444444444,4.444444444444445,31.11111111111111,0.0,15.406334,1.4716585,16.877993,0.0,0,0
71,34,16.654093,88.23529411764706,2.9411764705882355,8.823529411764707,0.0,8.530441,1.1984386,9.72888,0.0,0,0
72,30,12.383209,83.33333333333333,6.666666666666667,10.0,0.0,13.147179,3.4162688,16.563448,0.0,0,0
73,24,6.964391,79.16666666666667,12.5,8.333333333333334,0.0,11.3927,1.260743,12.653443,0.0,0,0
74,37,18.43739,70.27027027027027,13.513513513513514,16.216216216216218,0.0,12.922472,1.4349077,14.35738,0.0,0,0
75,33,15.71018,84.84848484848484,6.0606060606060606,9.090909090909092,0.0,14.415979,0.998142,15.414122,0.0,0,0
76,26,9.034496,80.76923076923077,7.6923076923076925,11.538461538461538,0.0,8.658294,1.1238413,9.782135,0.0,0,0
77,31,13.325403,70.96774193548387,22.580645161290324,6.451612903225806,0.0,10.294929,2.7237303,13.018659,0.0,0,0
78,31,12.34473,58.064516129032256,12.903225806451612,19.35483870967742,9.67741935483871,14.630674,3.8882115,18.518887,0.0,0,0
79,36,18.52866,83.33333333333333,5.555555555555555,11.11111111111111,0.0,8.974419,1.2580526,10.232471,0.0,0,0
80,27,9.939589,85.18518518518519,3.7037037037037037,11.11111111111111,0.0,8.85042,2.0809226,10.931343,0.0,0,0
81,26,8.742743,80.76923076923077,7.6923076923076925,11.538461538461538,0.0,12.266505,1.1903192,13.456824,0.0,0,0
82,28,10.636896,75.0,14.285714285714286,10.714285714285714,0.0,11.238608,1.2215023,12.460111,0.0,0,0
83,36,18.615849,86.11111111111111,5.555555555555555,8.333333333333334,0.0,11.218689,1.746735,12.965424,0.0,0,0
84,39,21.06065,79.48717948717949,10.256410256410257,10.256410256410257,0.0,10.067495,1.6150407,11.682536,0.0,0,0
85,37,18.944916,70.27027027027027,21.62162162162162,8.108108108108109,0.0,11.401143,2.489213,13.890356,0.0,0,0
86,41,22.239517,68.29268292682927,12.195121951219512,19.51219512195122,0.0,11.862454,1.7298818,13.592337,0.0,0,0
87,22,4.6138916,72.72727272727273,9.090909090909092,18.181818181818183,0.0,12.215031,1.9939578,14.208988,0.0,0,0
88,32,14.518703,81.25,9.375,9.375,0.0,7.887451,2.3754985,10.26295,0.0,0,0
89,38,19.402992,73.6842105263158,5.2631578947368425,21.05263157894737,0.0,17.549046,2.1631787,19.712225,0.0,0,0
90,24,6.166439,70.83333333333333,8.333333333333334,20.833333333333332,0.0,16.24091,2.2143471,18.455257,0.0,0,0
91,31,13.252638,77.41935483870968,9.67741935483871,12.903225806451612,0.0,11.056169,1.7780507,12.834219,0.0,0,0
92,30,12.300867,76.66666666666667,10.0,13.333333333333334,0.0,12.031336,2.420854,14.45219,0.0,0,0
93,33,15.25021,78.78787878787878,12.121212121212121,9.090909090909092,0.0,12.240291,2.698325,14.938616,0.0,0,0
94,28,10.964201,85.71428571428571,3.5714285714285716,10.714285714285714,0.0,9.90645,0.86297446,10.769424,0.0,0,0
95,41,22.86641,80.48780487804878,9.75609756097561,9.75609756097561,0.0,11.129574,2.5936458,13.72322,0.0,0,0
96,28,10.024897,50.0,10.714285714285714,14.285714285714286,25.0,14.186292,4.680052,18.866344,0.0,0,0
97,48,30.038301,81.25,8.333333333333334,10.416666666666666,0.0,8.112626,0.7252062,8.837832,0.0,0,0
98,32,14.350668,71.875,18.75,9.375,0.0,11.596367,1.0942309,12.690598,0.0,0,0
99,45,25.558697,73.33333333333333,6.666666666666667,20.0,0.0,17.457716,2.492039,19.949755,0.0,0,0
100,21,4.241375,80.95238095238095,9.523809523809524,9.523809523809524,0.0,10.841925,1.370659,12.212584,0.0,0,0
101,42,23.85212,80.95238095238095,11.904761904761905,7.142857142857143,0.0,12.901956,2.936305,15.838261,0.0,0,0
102,37,19.521042,86.48648648648648,8.108108108108109,5.405405405405405,0.0,8.099907,1.7098718,9.809778,0.0,0,0
103,29,11.787918,82.75862068965517,6.896551724137931,10.344827586206897,0.0,9.220969,2.0169356,11.237905,0.0,0,0
104,37,19.472385,83.78378378378379,8.108108108108109,8.108108108108109,0.0,9.891687,1.9322098,11.823897,0.0,0,0
105,47,28.66257,65.95744680851064,29.78723404255319,4.25531914893617,0.0,10.395652,0.9707751,11.366426,0.0,0,0
106,31,13.420727,83.87096774193549,6.451612903225806,9.67741935483871,0.0,13.028486,3.130111,16.158598,0.0,0,0
107,34,16.43875,85.29411764705883,5.882352941176471,8.823529411764707,0.0,10.966787,2.4035938,13.370381,0.0,0,0
108,33,14.646872,72.72727272727273,9.090909090909092,18.181818181818183,0.0,14.22952,3.2674384,17.496958,0.0,0,0
109,30,12.535557,80.0,6.666666666666667,13.333333333333334,0.0,15.44002,1.5085127,16.948532,0.0,0,0
110,37,18.701832,81.08108108108108,8.108108108108109,10.81081081081081,0.0,13.470631,3.8613002,17.33193,0.0,0,0
