epi,t,reward,normo,hypo,sev_hypo,hyper,lgbi,hgbi,ri,sev_hyper,aBGP_rmse,cBGP_rmse
0,43,23.21062,67.44186046511628,6.976744186046512,25.58139534883721,0.0,16.547441,2.5190165,19.066458,0.0,0,0
1,37,18.94963,75.67567567567568,8.108108108108109,16.216216216216218,0.0,15.33988,1.2336781,16.573559,0.0,0,0
2,47,28.44854,76.59574468085107,6.382978723404255,17.02127659574468,0.0,13.1333065,1.1314783,14.264785,0.0,0,0
3,33,15.829628,87.87878787878788,6.0606060606060606,6.0606060606060606,0.0,6.155023,3.1589513,9.313974,0.0,0,0
4,34,16.046183,79.41176470588235,5.882352941176471,14.705882352941176,0.0,15.1076355,2.3723066,17.479942,0.0,0,0
5,32,14.300877,81.25,9.375,9.375,0.0,11.145979,2.887917,14.0338955,0.0,0,0
6,31,13.432919,80.64516129032258,9.67741935483871,9.67741935483871,0.0,13.279114,2.4379478,15.717062,0.0,0,0
7,33,14.604031,66.66666666666667,9.090909090909092,18.181818181818183,6.0606060606060606,14.701381,3.1752212,17.876602,0.0,0,0
8,32,14.145214,81.25,6.25,12.5,0.0,12.596444,2.6241143,15.220558,0.0,0,0
9,31,13.571753,80.64516129032258,9.67741935483871,9.67741935483871,0.0,12.762955,1.46302,14.225975,0.0,0,0
10,42,24.396912,85.71428571428571,7.142857142857143,7.142857142857143,0.0,7.9561725,1.1696051,9.125777,0.0,0,0
11,35,16.796162,74.28571428571429,14.285714285714286,11.428571428571429,0.0,15.084628,2.2517452,17.336372,0.0,0,0
12,37,19.152214,78.37837837837837,10.81081081081081,10.81081081081081,0.0,9.381283,1.6134708,10.994754,0.0,0,0
13,32,13.832235,75.0,6.25,18.75,0.0,13.632381,2.234908,15.86729,0.0,0,0
14,41,22.947105,78.04878048780488,9.75609756097561,12.195121951219512,0.0,9.900037,1.6956079,11.595645,0.0,0,0
15,31,13.877359,87.09677419354838,6.451612903225806,6.451612903225806,0.0,8.405598,2.2852752,10.690873,0.0,0,0
16,28,10.707882,78.57142857142857,14.285714285714286,7.142857142857143,0.0,8.650371,2.791871,11.442242,0.0,0,0
17,28,10.067486,75.0,10.714285714285714,14.285714285714286,0.0,12.141631,3.7868268,15.928458,0.0,0,0
18,27,9.345745,70.37037037037037,11.11111111111111,18.51851851851852,0.0,15.859403,0.85868007,16.718082,0.0,0,0
19,40,21.98125,75.0,17.5,7.5,0.0,9.170595,0.7138395,9.884435,0.0,0,0
20,39,20.94551,79.48717948717949,7.6923076923076925,12.820512820512821,0.0,11.403273,2.2585778,13.66185,0.0,0,0
21,28,10.463537,78.57142857142857,7.142857142857143,14.285714285714286,0.0,13.038777,2.206456,15.245234,0.0,0,0
22,29,11.860802,82.75862068965517,10.344827586206897,6.896551724137931,0.0,8.747043,1.9736104,10.720654,0.0,0,0
23,48,29.20739,77.08333333333333,10.416666666666666,12.5,0.0,11.809433,2.897484,14.706917,0.0,0,0
24,34,16.73628,85.29411764705883,5.882352941176471,8.823529411764707,0.0,9.612869,1.8829162,11.495786,0.0,0,0
25,37,18.350723,59.45945945945946,24.324324324324323,10.81081081081081,5.405405405405405,12.061681,3.1060894,15.16777,0.0,0,0
26,36,17.631641,72.22222222222223,11.11111111111111,13.88888888888889,2.7777777777777777,14.210793,3.4529054,17.663698,0.0,0,0
27,39,20.873089,79.48717948717949,7.6923076923076925,12.820512820512821,0.0,14.611395,1.8489201,16.460316,0.0,0,0
28,32,14.47139,78.125,9.375,12.5,0.0,10.432978,1.503515,11.936493,0.0,0,0
29,34,14.4722,61.76470588235294,5.882352941176471,32.35294117647059,0.0,20.26757,1.623919,21.891489,0.0,0,0
30,36,18.245525,83.33333333333333,8.333333333333334,8.333333333333334,0.0,9.844368,2.8024285,12.646796,0.0,0,0
31,39,20.582325,74.35897435897436,15.384615384615385,7.6923076923076925,2.5641025641025643,10.31309,4.4861383,14.799229,0.0,0,0
32,40,20.764141,77.5,5.0,17.5,0.0,17.184254,4.154251,21.338505,0.0,0,0
33,36,18.295097,77.77777777777777,11.11111111111111,11.11111111111111,0.0,11.789663,1.4406604,13.230324,0.0,0,0
34,40,21.732994,70.0,22.5,7.5,0.0,11.40363,1.3320311,12.7356615,0.0,0,0
35,29,11.326586,75.86206896551724,6.896551724137931,17.24137931034483,0.0,11.495227,1.656389,13.151616,0.0,0,0
36,32,15.193187,90.625,3.125,6.25,0.0,9.225335,1.152921,10.378256,0.0,0,0
37,60,40.82608,83.33333333333333,5.0,11.666666666666666,0.0,12.224456,2.276085,14.500541,0.0,0,0
38,29,11.569031,79.3103448275862,6.896551724137931,13.793103448275861,0.0,13.890323,1.579523,15.469846,0.0,0,0
39,40,21.873062,75.0,17.5,7.5,0.0,8.374128,3.4223766,11.796505,0.0,0,0
40,37,19.378048,81.08108108108108,10.81081081081081,8.108108108108109,0.0,11.059134,2.3560026,13.415136,0.0,0,0
41,42,24.301285,80.95238095238095,11.904761904761905,7.142857142857143,0.0,14.546628,1.1141999,15.660828,0.0,0,0
42,34,15.662851,73.52941176470588,8.823529411764707,17.647058823529413,0.0,14.091218,3.1803901,17.271608,0.0,0,0
