epi,t,reward,normo,hypo,sev_hypo,hyper,lgbi,hgbi,ri,sev_hyper,aBGP_rmse,cBGP_rmse
0,23,5.7009773,73.91304347826087,8.695652173913043,17.391304347826086,0.0,12.810375,1.3011152,14.11149,0.0,0,0
1,33,15.120144,72.72727272727273,9.090909090909092,18.181818181818183,0.0,15.421169,1.2807502,16.70192,0.0,0,0
2,31,13.236168,77.41935483870968,9.67741935483871,12.903225806451612,0.0,14.070811,2.4023147,16.473125,0.0,0,0
3,32,14.907482,90.625,3.125,6.25,0.0,7.570376,2.57802,10.148396,0.0,0,0
4,28,10.576061,75.0,14.285714285714286,10.714285714285714,0.0,11.257875,2.27797,13.535846,0.0,0,0
5,27,9.625273,81.48148148148148,7.407407407407407,11.11111111111111,0.0,10.972027,3.4319532,14.40398,0.0,0,0
6,25,7.905018,80.0,8.0,12.0,0.0,12.095447,1.7792596,13.874706,0.0,0,0
7,27,9.560219,74.07407407407408,14.814814814814815,11.11111111111111,0.0,13.299497,2.2381868,15.5376835,0.0,0,0
8,24,6.1768303,70.83333333333333,12.5,16.666666666666668,0.0,14.562634,3.8060653,18.3687,0.0,0,0
9,20,2.953989,80.0,5.0,15.0,0.0,15.246147,1.7316489,16.977797,0.0,0,0
10,30,12.659449,83.33333333333333,3.3333333333333335,13.333333333333334,0.0,13.582991,1.8174646,15.400455,0.0,0,0
11,26,8.139982,65.38461538461539,15.384615384615385,19.23076923076923,0.0,14.848836,1.2423391,16.091175,0.0,0,0
12,22,5.064497,77.27272727272727,9.090909090909092,13.636363636363637,0.0,11.810503,1.1332256,12.943728,0.0,0,0
13,29,11.698023,82.75862068965517,6.896551724137931,10.344827586206897,0.0,9.616011,2.2471983,11.863209,0.0,0,0
14,34,15.709486,70.58823529411765,11.764705882352942,11.764705882352942,5.882352941176471,12.632141,4.086969,16.71911,0.0,0,0
15,26,9.066368,84.61538461538461,3.8461538461538463,11.538461538461538,0.0,10.057571,1.2779491,11.335521,0.0,0,0
16,22,5.093689,81.81818181818181,9.090909090909092,9.090909090909092,0.0,13.312519,1.5918576,14.904377,0.0,0,0
17,27,9.5601845,81.48148148148148,7.407407407407407,11.11111111111111,0.0,10.9060755,2.880709,13.786784,0.0,0,0
18,33,15.033531,78.78787878787878,6.0606060606060606,15.151515151515152,0.0,14.576226,2.2627983,16.839024,0.0,0,0
19,30,12.577034,83.33333333333333,3.3333333333333335,13.333333333333334,0.0,12.6259775,2.186272,14.812249,0.0,0,0
20,23,5.9736767,82.6086956521739,4.3478260869565215,13.043478260869565,0.0,14.244553,0.89858186,15.143134,0.0,0,0
21,26,8.355991,80.76923076923077,7.6923076923076925,11.538461538461538,0.0,12.151275,4.050176,16.20145,0.0,0,0
22,28,10.351967,82.14285714285714,7.142857142857143,10.714285714285714,0.0,11.30275,4.551176,15.853926,0.0,0,0
23,28,10.034477,71.42857142857143,7.142857142857143,21.428571428571427,0.0,17.481234,1.5548375,19.036072,0.0,0,0
24,20,3.1237812,80.0,5.0,15.0,0.0,9.721875,1.996408,11.718283,0.0,0,0
25,27,9.334047,74.07407407407408,7.407407407407407,18.51851851851852,0.0,12.891984,0.9442522,13.836236,0.0,0,0
26,28,10.776407,82.14285714285714,7.142857142857143,10.714285714285714,0.0,13.359179,1.4947875,14.853966,0.0,0,0
27,24,6.8673925,79.16666666666667,8.333333333333334,12.5,0.0,12.176263,1.2689847,13.445248,0.0,0,0
28,29,11.870768,86.20689655172414,6.896551724137931,6.896551724137931,0.0,9.233364,2.367781,11.601145,0.0,0,0
29,25,7.8367767,80.0,8.0,12.0,0.0,10.579421,2.1162295,12.69565,0.0,0,0
30,29,11.427553,82.75862068965517,6.896551724137931,10.344827586206897,0.0,15.522914,2.7829473,18.30586,0.0,0,0
31,34,17.040947,91.17647058823529,2.9411764705882355,5.882352941176471,0.0,6.043144,0.9424783,6.9856224,0.0,0,0
32,32,13.877591,65.625,12.5,12.5,9.375,12.89621,3.3464568,16.242666,0.0,0,0
33,25,8.008358,80.0,8.0,12.0,0.0,11.114117,1.0756822,12.189798,0.0,0,0
34,31,13.166801,77.41935483870968,9.67741935483871,12.903225806451612,0.0,11.745012,2.2337797,13.978792,0.0,0,0
35,30,12.654528,83.33333333333333,6.666666666666667,10.0,0.0,12.878184,2.1948705,15.073055,0.0,0,0
36,21,4.1684074,80.95238095238095,9.523809523809524,9.523809523809524,0.0,11.622028,1.3933269,13.015355,0.0,0,0
37,27,9.552376,77.77777777777777,11.11111111111111,11.11111111111111,0.0,14.848127,2.0240164,16.872143,0.0,0,0
38,24,6.3971443,70.83333333333333,12.5,16.666666666666668,0.0,16.209515,2.593516,18.80303,0.0,0,0
39,27,8.765348,62.96296296296296,11.11111111111111,25.925925925925927,0.0,16.929646,0.59621215,17.525858,0.0,0,0
40,31,13.837736,87.09677419354838,6.451612903225806,6.451612903225806,0.0,10.515923,2.2869594,12.802882,0.0,0,0
41,30,12.366112,83.33333333333333,6.666666666666667,10.0,0.0,13.013415,3.0715084,16.084923,0.0,0,0
42,26,8.571049,73.07692307692308,11.538461538461538,15.384615384615385,0.0,11.214496,1.1641374,12.3786335,0.0,0,0
43,25,8.148142,88.0,4.0,8.0,0.0,9.143715,2.127111,11.270826,0.0,0,0
44,25,7.3022118,68.0,20.0,12.0,0.0,12.258646,2.4013054,14.659951,0.0,0,0
45,42,23.773304,78.57142857142857,9.523809523809524,11.904761904761905,0.0,12.405214,1.0894475,13.494661,0.0,0,0
46,41,22.475765,75.60975609756098,9.75609756097561,14.634146341463415,0.0,11.974449,1.9515474,13.925997,0.0,0,0
47,34,16.794983,85.29411764705883,8.823529411764707,5.882352941176471,0.0,11.279269,1.9103576,13.189627,0.0,0,0
48,34,16.13674,76.47058823529412,14.705882352941176,8.823529411764707,0.0,9.392391,2.5492992,11.94169,0.0,0,0
49,29,11.136333,72.41379310344827,10.344827586206897,17.24137931034483,0.0,14.985671,1.85364,16.839312,0.0,0,0
50,27,9.855373,81.48148148148148,11.11111111111111,7.407407407407407,0.0,11.332303,2.3107157,13.643019,0.0,0,0
51,32,14.560767,81.25,9.375,9.375,0.0,9.831615,1.5465536,11.378169,0.0,0,0
52,24,6.763549,75.0,12.5,12.5,0.0,12.535089,0.9468374,13.481926,0.0,0,0
53,30,12.717503,83.33333333333333,6.666666666666667,10.0,0.0,11.807892,2.4153082,14.2232,0.0,0,0
54,37,19.804356,89.1891891891892,2.7027027027027026,8.108108108108109,0.0,6.5589905,2.0864692,8.64546,0.0,0,0
